Name,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,1 Point Field Goals,2 Point Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,Inside 10 Metres,On Report,Sin Bins,Send Offs,Stint One,Stint Two,Year,Round,Home Team,Away Team
Junior Paulo,10,Interchange,46:00,-,-,-,-,-,-,-,-,45,13,133,-,57,-,-,-,-,4,12,-,3.2s,-,-,-,3,2,4,16,0.31,94.74%,18,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,45:42,-,2024,14,Bulldogs,Eels
Kelma Tuilagi,11,2nd Row,80:00,4,1,-,-,-,-,-,-,47,15,138,-,49,1,-,-,-,4,15,-,3.93s,-,-,-,-,1,-,16,-,92.31%,24,2,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,80:00,-,2024,14,Bulldogs,Eels
Bryce Cartwright,12,2nd Row,80:00,-,-,-,-,-,-,-,-,35,10,83,-,18,1,-,1,-,-,9,-,3.27s,-,-,-,3,5,5,14,0.5,80%,24,6,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,80:00,-,2024,14,Bulldogs,Eels
J'maine Hopgood,13,Lock,33:00,-,-,-,-,-,-,-,-,29,7,65,-,25,-,-,-,-,1,7,-,3.33s,-,-,-,-,1,2,9,0.29,100%,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,23:39,09:10,2024,14,Bulldogs,Eels
Joe Ofahengaue,14,Interchange,39:00,-,-,-,-,-,-,-,-,39,17,178,39,67,-,-,-,-,1,13,-,3.4s,-,-,-,-,3,2,18,0.12,92.31%,24,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23:01,15:59,2024,14,Bulldogs,Eels
Shaun Lane,15,Interchange,47:00,-,-,-,-,-,-,-,-,44,16,178,-,74,-,-,-,-,1,16,-,3.57s,-,-,-,2,2,-,17,-,90%,27,3,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,37:00,10:11,2024,14,Bulldogs,Eels
Makahesi Makatoa,16,Replacement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,14,Bulldogs,Eels
Wiremu Greig,17,Prop,18:00,-,-,-,-,-,-,-,-,13,3,28,-,12,-,-,-,-,-,3,-,2.42s,-,-,-,1,-,-,3,-,81.25%,13,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:19,-,2024,14,Bulldogs,Eels
Daejarn Asi,18,Centre,80:00,-,-,-,-,-,-,-,-,18,6,76,-,35,-,-,-,-,1,-,-,3.7s,-,-,-,1,1,7,9,1.17,75%,15,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,80:00,-,2024,14,Bulldogs,Eels
Joey Lussick,20,Interchange,11:00,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,-,100%,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11:00,-,2024,14,Bulldogs,Eels
William Kennedy,1,Fullback,80:00,4,1,-,-,-,-,-,-,29,18,134,28,33,-,-,-,-,2,-,-,3.11s,2,2,-,-,1,9,26,0.5,63.64%,7,3,1,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,15,Sharks,Dolphins
Sione Katoa,2,Winger,80:00,4,1,-,-,-,-,-,-,36,18,152,27,49,-,-,-,-,8,-,-,2.85s,-,-,-,-,1,1,20,0.06,60%,3,2,-,-,2,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,80:00,-,2024,15,Sharks,Dolphins
