Name,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,1 Point Field Goals,2 Point Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,Inside 10 Metres,On Report,Sin Bins,Send Offs,Stint One,Stint Two,Year,Round,Home Team,Away Team
Tom Trbojevic,1,Fullback,80:00,-,-,-,-,-,-,-,-,54,28,224,87,58,1,2,1,-,3,2,-,3.02s,-,-,-,4,-,23,48,0.82,71.43%,5,2,-,-,5,1,30,-,1,-,-,-,-,-,3,3,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Jason Saab,2,Winger,76:00,4,1,-,-,-,-,-,-,48,14,248,27,32,1,-,-,-,3,1,-,3.93s,-,-,-,1,-,-,14,-,70%,7,2,1,1,1,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,76:30,-,2024,1,Sea Eagles,Rabbitohs
Tolutau Koula,3,Centre,80:00,-,-,-,-,-,-,-,-,23,15,165,-,62,-,-,-,-,3,-,-,3.71s,-,-,-,-,-,8,23,0.53,72.73%,8,2,1,1,-,-,-,-,-,-,-,-,-,-,3,3,-,-,1,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Reuben Garrick,4,Centre,80:00,16,1,6,6,-,100%,-,-,68,19,214,-,56,1,-,-,-,2,1,-,3.52s,-,-,-,1,1,5,22,0.26,79.17%,19,5,-,1,1,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Jaxson Paulo,5,Winger,80:00,-,-,-,-,-,-,-,-,12,13,94,44,27,-,-,-,-,2,2,-,4.23s,-,-,-,-,-,5,19,0.38,66.67%,6,3,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Luke Brooks,6,Five-Eighth,80:00,4,1,-,-,-,-,-,-,45,19,97,-,10,1,1,-,-,2,-,-,3.9s,-,-,-,-,1,40,48,2.11,92.31%,24,2,-,-,-,3,60,-,1,2,-,-,-,-,2,2,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Daly Cherry-Evans,7,Halfback,80:00,-,-,-,-,-,-,-,-,53,19,125,-,8,-,-,1,-,2,-,-,4.74s,5,43,-,1,3,53,72,2.79,94.74%,18,1,-,-,-,14,379,1,3,3,-,-,1,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Taniela Paseka,8,Prop,39:00,-,-,-,-,-,-,-,-,31,10,90,20,41,-,-,-,-,2,8,-,3.29s,-,-,-,-,-,-,10,-,95.45%,21,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,25:54,13:16,2024,1,Sea Eagles,Rabbitohs
Lachlan Croker,9,Hooker,57:00,4,1,-,-,-,-,-,-,41,1,4,-,-,1,-,-,-,1,-,-,-,1,4,-,-,-,51,54,51,86.84%,33,4,1,-,-,2,78,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51:30,05:59,2024,1,Sea Eagles,Rabbitohs
Josh Aloiai,10,Prop,36:00,-,-,-,-,-,-,-,-,31,8,78,7,19,-,-,-,-,-,7,-,3.86s,-,-,-,-,-,-,8,-,100%,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:09,17:53,2024,1,Sea Eagles,Rabbitohs
Haumole Olakau'atu,11,2nd Row,80:00,4,1,-,-,-,-,-,-,70,16,184,-,84,1,-,-,-,6,16,-,3.62s,-,-,-,1,1,3,20,0.19,91.43%,32,3,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Ben Trbojevic,12,2nd Row,71:00,4,1,-,-,-,-,-,-,53,10,63,-,14,1,-,-,-,4,10,-,3.45s,-,-,-,-,-,2,12,0.2,87.5%,35,4,1,-,-,1,6,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,71:46,-,2024,1,Sea Eagles,Rabbitohs
Jake Trbojevic,13,Lock,80:00,-,-,-,-,-,-,-,-,49,12,74,7,14,-,-,-,-,-,5,-,3.37s,-,-,-,-,1,12,18,1,86.79%,46,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Karl Lawton,14,Interchange,23:00,-,-,-,-,-,-,-,-,15,1,13,-,6,-,-,-,-,-,-,-,2.92s,1,13,-,-,-,28,29,28,100%,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22:31,-,2024,1,Sea Eagles,Rabbitohs
Corey Waddell,15,Interchange,19:00,-,-,-,-,-,-,-,-,6,5,34,-,12,-,-,-,-,-,4,-,3.7s,-,-,-,-,-,-,5,-,75%,6,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19:00,-,2024,1,Sea Eagles,Rabbitohs
Ethan Bullemor,16,Interchange,22:00,-,-,-,-,-,-,-,-,19,5,44,15,12,-,-,-,-,1,3,-,3.22s,-,-,-,-,-,-,5,-,83.33%,15,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22:50,-,2024,1,Sea Eagles,Rabbitohs
Nathan Brown,17,Interchange,52:00,-,-,-,-,-,-,-,-,26,13,113,-,24,-,-,-,-,-,8,-,4.37s,1,1,-,-,-,7,16,0.54,84%,21,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,43:58,08:14,2024,1,Sea Eagles,Rabbitohs
Jake Arthur,18,Replacement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,1,Sea Eagles,Rabbitohs
Latrell Mitchell,1,Fullback,80:00,8,1,2,5,-,40%,-,-,81,17,120,37,34,1,2,2,-,7,-,-,3.19s,1,6,-,2,4,13,29,0.76,100%,4,-,-,-,3,-,-,-,-,-,-,-,-,-,3,3,-,1,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Alex Johnston,2,Winger,80:00,4,1,-,-,-,-,-,-,42,12,96,45,18,1,-,-,-,4,-,-,3.68s,-,-,-,-,-,4,18,0.33,70%,7,-,3,-,3,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Isaiah Tass,3,Centre,80:00,-,-,-,-,-,-,-,-,19,8,46,-,15,-,-,-,-,1,-,-,3.98s,2,10,-,-,-,4,12,0.5,85%,17,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Richard Kennar,4,Centre,80:00,8,2,-,-,-,-,-,-,58,15,144,-,45,2,-,-,-,5,-,-,3.33s,1,6,-,-,-,3,17,0.2,63.64%,14,4,4,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Jacob Gagai,5,Winger,80:00,4,1,-,-,-,-,-,-,28,11,119,-,22,1,-,-,-,3,-,-,3.78s,-,-,-,-,-,-,12,-,63.64%,7,3,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Cody Walker,6,Five-Eighth,80:00,-,-,-,-,-,-,-,-,31,10,40,-,-,-,-,-,-,2,-,-,7.64s,1,2,-,-,-,21,30,2.1,81.48%,22,5,-,-,-,7,236,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Lachlan Ilias,7,Halfback,80:00,-,-,-,-,-,-,-,-,27,11,53,-,2,-,-,-,-,-,-,-,2.7s,-,-,-,-,3,31,47,2.82,75%,15,4,1,-,1,13,483,-,6,-,-,-,-,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Tevita Tatola,8,Prop,43:00,-,-,-,-,-,-,-,-,32,12,115,16,45,-,-,-,-,1,10,-,3.23s,-,-,-,-,1,-,12,-,100%,21,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,20:00,22:04,2024,1,Sea Eagles,Rabbitohs
Damien Cook,9,Hooker,80:00,-,-,-,-,-,-,-,-,60,9,70,-,16,-,1,1,-,2,1,-,4.08s,8,58,-,-,3,119,124,13.22,91.3%,42,4,-,-,-,1,49,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Sean Keppie,10,Prop,40:00,-,-,-,-,-,-,-,-,32,15,131,11,45,-,-,-,-,-,14,-,3.46s,-,-,-,-,-,-,15,-,100%,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22:20,16:14,2024,1,Sea Eagles,Rabbitohs
Keaon Koloamatangi,11,2nd Row,80:00,-,-,-,-,-,-,-,-,49,15,144,-,52,-,-,-,-,1,11,-,3.02s,-,-,-,-,-,5,17,0.33,96.67%,29,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,1,Sea Eagles,Rabbitohs
Jai Arrow,12,2nd Row,53:00,-,-,-,-,-,-,-,-,34,12,87,-,33,-,-,-,-,1,12,-,3.53s,-,-,-,-,-,-,12,-,96.55%,28,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,29:00,23:31,2024,1,Sea Eagles,Rabbitohs
Cameron Murray,13,Lock,72:00,-,-,-,-,-,-,-,-,62,23,167,-,34,-,-,-,-,2,18,-,3.21s,-,-,-,1,3,9,26,0.39,92.31%,36,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,63:46,07:49,2024,1,Sea Eagles,Rabbitohs
Siliva Havili,14,Interchange,27:00,-,-,-,-,-,-,-,-,26,11,83,-,25,-,-,-,-,-,5,-,3.15s,-,-,-,-,1,9,14,0.82,100%,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,27:29,-,2024,1,Sea Eagles,Rabbitohs
Jacob Host,15,Interchange,21:00,-,-,-,-,-,-,-,-,6,4,29,-,18,-,-,-,-,2,4,-,3.67s,-,-,-,-,-,-,4,-,66.67%,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20:41,-,2024,1,Sea Eagles,Rabbitohs
Davvy Moale,16,Interchange,28:00,-,-,-,-,-,-,-,-,27,9,77,-,26,-,-,-,-,5,9,-,3.73s,-,-,-,-,-,-,9,-,100%,12,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,29:10,-,2024,1,Sea Eagles,Rabbitohs
Thomas Burgess,17,Interchange,37:00,-,-,-,-,-,-,-,-,25,12,118,37,47,-,-,-,-,2,9,-,3.8s,-,-,-,1,-,-,12,-,80%,12,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37:56,-,2024,1,Sea Eagles,Rabbitohs
Dean Hawkins,24,Replacement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,1,Sea Eagles,Rabbitohs
James Tedesco,1,Fullback,80:00,-,-,-,-,-,-,-,-,53,20,212,46,68,1,-,1,-,8,1,-,3.28s,1,16,-,-,-,13,30,0.65,100%,6,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,80:00,-,2024,1,Roosters,Broncos
Daniel Tupou,2,Winger,80:00,-,-,-,-,-,-,-,-,36,23,189,42,71,1,-,-,-,3,-,-,3.2s,-,-,-,1,-,3,26,0.13,100%,4,-,-,-,4,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,80:00,-,2024,1,Roosters,Broncos
Joseph Manu,4,Centre,80:00,4,1,-,-,-,-,-,-,71,18,165,-,46,-,2,1,-,5,-,-,3.35s,1,-,-,3,-,7,26,0.39,73.91%,17,4,2,2,-,1,1,-,-,1,-,-,-,-,2,2,-,-,-,1,-,-,-,80:00,-,2024,1,Roosters,Broncos
Joseph-Aukuso Sua'ali'i,5,Centre,80:00,-,-,-,-,-,-,-,-,22,17,166,-,69,-,1,-,-,2,1,-,3.54s,-,-,-,-,-,8,22,0.47,66.67%,10,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,80:00,-,2024,1,Roosters,Broncos
Luke Keary,6,Five-Eighth,80:00,-,-,-,-,-,-,-,-,43,17,74,-,5,-,-,-,-,-,1,-,3.12s,-,-,-,3,2,41,57,2.41,85.71%,24,3,1,-,-,9,258,-,4,-,-,-,2,-,-,-,-,1,-,-,-,-,-,80:00,-,2024,1,Roosters,Broncos
Sam Walker,7,Halfback,80:00,8,-,3,3,1,100%,-,-,42,10,48,-,4,-,-,-,-,-,-,-,2.15s,1,5,-,1,-,36,56,3.6,81.48%,22,4,1,-,1,14,408,-,7,2,-,-,1,1,1,1,-,-,-,-,-,-,-,80:00,-,2024,1,Roosters,Broncos
Spencer Leniu,8,Prop,42:00,-,-,-,-,-,-,-,-,26,10,96,7,43,-,-,-,-,1,9,-,3.23s,-,-,-,-,-,2,12,0.2,94.44%,17,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,25:49,15:43,2024,1,Roosters,Broncos
Brandon Smith,9,Hooker,54:00,-,-,-,-,-,-,-,-,46,5,50,-,12,-,-,-,-,2,1,-,3.78s,4,45,1,-,-,71,75,14.2,100%,32,-,-,-,-,1,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53:34,-,2024,1,Roosters,Broncos
Lindsay Collins,10,Prop,60:00,-,-,-,-,-,-,-,-,41,13,97,-,43,-,-,-,-,2,12,-,3.22s,-,-,-,1,-,2,16,0.15,86.67%,39,5,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,2,-,-,-,-,-,48:47,11:22,2024,1,Roosters,Broncos
Siua Wong,11,2nd Row,52:00,-,-,-,-,-,-,-,-,41,6,55,-,25,-,-,-,-,2,6,-,2.71s,-,-,-,-,-,1,7,0.17,90%,36,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,25:47,26:00,2024,1,Roosters,Broncos
Sitili Tupouniua,12,2nd Row,43:00,-,-,-,-,-,-,-,-,22,5,50,-,20,-,-,-,-,-,5,-,4.57s,-,-,-,-,-,1,6,0.2,87.5%,21,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,42:38,-,2024,1,Roosters,Broncos
Victor Radley,13,Lock,80:00,4,1,-,-,-,-,-,-,57,18,165,-,56,-,-,-,-,1,16,-,3.19s,-,-,-,-,-,14,31,0.78,88.1%,37,4,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,1,Roosters,Broncos
Sandon Smith,14,Interchange,26:00,-,-,-,-,-,-,-,-,19,4,24,-,2,-,-,-,-,1,1,-,5.56s,2,17,-,-,-,47,50,11.75,93.75%,15,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26:00,-,2024,1,Roosters,Broncos
Naufahu Whyte,15,Interchange,15:00,-,-,-,-,-,-,-,-,12,4,35,-,11,-,-,-,-,-,4,-,3.48s,-,-,-,1,-,-,4,-,87.5%,7,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14:09,01:21,2024,1,Roosters,Broncos
Nat Butcher,16,Interchange,54:00,-,-,-,-,-,-,-,-,34,7,47,-,12,1,-,-,-,1,7,-,2.58s,-,-,-,1,-,5,11,0.71,86.96%,20,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54:00,-,2024,1,Roosters,Broncos
Terrell May,17,Interchange,54:00,-,-,-,-,-,-,-,-,61,17,166,-,80,-,-,-,-,3,17,-,2.83s,-,-,-,3,-,3,20,0.18,96.43%,27,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54:00,-,2024,1,Roosters,Broncos
Fetalaiga Pauga,18,Winger,80:00,4,1,-,-,-,-,-,-,34,19,167,-,46,1,-,-,-,3,-,-,3.79s,-,-,-,-,-,-,18,-,60%,3,1,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,1,Roosters,Broncos
Connor Watson,22,Replacement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,1,Roosters,Broncos
Reece Walsh,1,Fullback,80:00,4,1,-,-,-,-,-,-,54,22,183,34,26,-,-,1,-,3,-,-,3.6s,-,-,-,3,1,19,39,0.86,88.89%,8,-,1,-,2,4,115,-,-,2,-,-,-,1,1,1,-,3,-,-,-,-,-,80:00,-,2024,1,Roosters,Broncos
Jesse Arthars,2,Winger,80:00,-,-,-,-,-,-,-,-,40,16,193,70,66,1,-,1,-,4,1,-,2.78s,-,-,-,-,1,4,22,0.25,57.14%,4,1,2,-,4,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,80:00,-,2024,1,Roosters,Broncos
Kotoni Staggs,3,Centre,80:00,-,-,-,-,-,-,-,-,41,11,113,19,40,-,-,-,-,2,-,-,3.66s,-,-,-,1,-,3,15,0.27,84.62%,22,2,2,-,1,1,6,-,-,1,-,-,-,-,2,2,-,-,-,-,-,-,-,80:00,-,2024,1,Roosters,Broncos
Selwyn Cobbo,4,Centre,80:00,-,-,-,-,-,-,-,-,34,18,131,2,56,-,1,-,-,5,-,-,3.57s,-,-,-,3,-,4,19,0.22,54.55%,6,4,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,1,Roosters,Broncos
Deine Mariner,5,Winger,80:00,4,1,-,-,-,-,-,-,29,18,121,26,46,-,-,-,-,4,2,-,3.27s,-,-,-,-,-,1,20,0.06,50%,4,3,1,-,2,1,22,-,-,1,-,-,-,1,2,1,1,-,-,-,-,-,-,80:00,-,2024,1,Roosters,Broncos
Ezra Mam,6,Five-Eighth,80:00,-,-,-,-,-,-,-,-,10,16,123,-,23,-,-,-,-,2,-,-,3.41s,-,-,-,-,2,27,37,1.69,57.69%,15,8,3,-,-,2,42,-,-,2,-,-,-,1,3,2,-,-,-,-,-,-,-,80:00,-,2024,1,Roosters,Broncos
Adam Reynolds,7,Halfback,80:00,2,-,1,2,-,50%,-,-,58,17,116,-,6,-,-,-,-,-,-,-,3.89s,1,10,-,-,4,33,50,1.94,89.66%,26,1,2,-,-,14,345,1,9,2,-,-,-,-,-,-,-,1,-,-,-,-,-,80:00,-,2024,1,Roosters,Broncos
Corey Jensen,8,Interchange,56:00,-,-,-,-,-,-,-,-,54,9,105,-,42,-,-,-,-,-,8,-,3.36s,-,-,-,-,-,1,11,0.11,97.92%,47,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,29:44,26:25,2024,1,Roosters,Broncos
Billy Walters,9,Hooker,54:00,-,-,-,-,-,-,-,-,33,5,53,-,20,-,-,-,-,-,1,-,3.45s,4,42,-,-,1,68,73,13.6,87.5%,35,3,2,-,-,1,52,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,29:28,24:49,2024,1,Roosters,Broncos
Payne Haas,10,Prop,69:00,-,-,-,-,-,-,-,-,75,16,136,-,54,-,-,-,-,9,13,-,3.25s,-,-,-,1,-,7,21,0.44,94.74%,36,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55:11,13:44,2024,1,Roosters,Broncos
Brendan Piakura,11,2nd Row,04:00,-,-,-,-,-,-,-,-,-,1,13,-,4,-,-,-,-,1,1,-,3.32s,-,-,-,-,-,-,1,-,33.33%,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,04:00,-,2024,1,Roosters,Broncos
Jordan Riki,12,2nd Row,80:00,-,-,-,-,-,-,-,-,63,12,101,-,44,-,-,-,-,-,9,-,3.39s,-,-,-,-,-,1,14,0.08,98.11%,52,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,1,Roosters,Broncos
Patrick Carrigan,13,Lock,80:00,-,-,-,-,-,-,-,-,41,17,164,-,70,-,-,-,-,-,16,-,3.15s,-,-,-,2,-,1,17,0.06,76.67%,23,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,1,Roosters,Broncos
Tyson Smoothy,14,Interchange,44:00,-,-,-,-,-,-,-,-,25,4,29,-,10,-,-,-,-,-,2,-,2.89s,2,12,-,-,2,41,45,10.25,92.59%,25,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44:00,-,2024,1,Roosters,Broncos
Fletcher Baker,15,Interchange,33:00,-,-,-,-,-,-,-,-,27,7,60,9,25,-,-,-,-,-,5,-,3.24s,-,-,-,1,-,1,7,0.14,100%,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32:54,-,2024,1,Roosters,Broncos
Kobe Hetherington,16,Interchange,36:00,-,-,-,-,-,-,-,-,22,12,86,-,29,-,-,-,-,1,12,-,3.45s,-,-,-,-,-,1,13,0.08,78.26%,18,2,3,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,35:10,-,2024,1,Roosters,Broncos
Corey Oates,18,Replacement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,1,Roosters,Broncos
Martin Taupau,21,Prop,25:00,-,-,-,-,-,-,-,-,17,6,47,8,16,-,-,-,-,-,4,-,3.31s,-,-,-,-,-,1,6,0.17,100%,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:25,06:32,2024,1,Roosters,Broncos
Kalyn Ponga,1,Fullback,80:00,4,-,2,2,-,100%,-,-,35,19,190,109,28,1,-,-,-,4,-,-,3.8s,-,-,-,-,-,23,38,1.21,75%,3,1,-,-,2,1,43,-,-,-,-,-,-,-,3,2,-,1,-,-,-,-,-,80:00,-,2024,1,Knights,Raiders
Enari Tuala,2,Winger,41:00,-,-,-,-,-,-,-,-,12,8,103,18,27,1,-,-,-,-,1,-,3.31s,-,-,-,-,-,2,11,0.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,40:02,-,2024,1,Knights,Raiders
Dane Gagai,3,Centre,80:00,-,-,-,-,-,-,-,-,52,21,210,-,77,-,-,-,-,5,4,-,3.65s,-,-,-,-,-,3,25,0.14,87.5%,14,-,2,-,1,1,29,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,1,Knights,Raiders
Bradman Best,4,Centre,80:00,-,-,-,-,-,-,-,-,27,14,91,2,38,-,-,-,-,-,-,-,3.85s,-,-,-,1,-,7,15,0.5,86.96%,20,1,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,80:00,-,2024,1,Knights,Raiders
Greg Marzhew,5,Winger,80:00,-,-,-,-,-,-,-,-,30,21,209,64,76,-,-,-,-,5,1,-,3.51s,1,3,-,1,-,-,22,-,100%,1,-,-,-,1,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,80:00,-,2024,1,Knights,Raiders
Tyson Gamble,6,Five-Eighth,80:00,-,-,-,-,-,-,-,-,41,8,41,-,2,-,2,1,-,1,-,-,3.8s,-,-,-,-,-,24,31,3,95.65%,22,1,-,-,1,5,162,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,1,Knights,Raiders
Jackson Hastings,7,Halfback,80:00,4,1,-,-,-,-,-,-,51,15,97,-,13,1,-,-,-,1,-,-,3.22s,1,6,-,-,-,41,53,2.73,85.71%,30,3,2,-,-,7,195,-,4,-,-,-,1,-,-,-,-,1,-,-,-,-,-,80:00,-,2024,1,Knights,Raiders
Jacob Saifiti,8,Prop,50:00,-,-,-,-,-,-,-,-,53,13,122,27,45,-,-,-,-,-,11,-,3.37s,-,-,-,1,-,-,13,-,91.43%,32,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22:04,28:18,2024,1,Knights,Raiders
Phoenix Crossland,9,Hooker,72:00,-,-,-,-,-,-,-,-,40,6,27,-,1,-,-,-,-,-,2,-,4s,2,15,-,-,-,49,54,8.17,88.06%,59,7,1,-,-,2,63,-,-,1,-,-,-,-,3,2,-,1,1,-,-,-,-,57:21,14:59,2024,1,Knights,Raiders
Leo Thompson,10,Prop,43:00,-,-,-,-,-,-,-,-,38,7,73,-,38,-,-,-,-,-,6,-,3.14s,-,-,-,-,-,1,7,0.14,94.29%,33,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,28:01,15:00,2024,1,Knights,Raiders
Tyson Frizell,11,2nd Row,80:00,4,1,-,-,-,-,-,-,56,8,76,-,19,1,-,-,-,4,8,-,3.38s,-,-,-,-,1,4,13,0.5,94.29%,33,-,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,80:00,-,2024,1,Knights,Raiders
Dylan Lucas,12,2nd Row,65:00,-,-,-,-,-,-,-,-,36,10,91,-,40,-,-,-,-,2,10,-,3.14s,-,-,-,-,-,1,12,0.1,85.29%,29,2,3,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,65:00,-,2024,1,Knights,Raiders
Adam Elliott,13,Lock,53:00,-,-,-,-,-,-,-,-,45,10,64,-,17,-,-,-,-,3,8,-,3.16s,-,-,1,-,1,3,11,0.3,88.57%,31,1,3,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,29:41,22:39,2024,1,Knights,Raiders
Jack Cogger,14,Interchange,50:00,-,-,-,-,-,-,-,-,38,3,24,-,3,-,-,-,-,-,1,-,3.8s,2,18,-,1,-,68,71,22.67,97.14%,34,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,50:00,-,2024,1,Knights,Raiders
Daniel Saifiti,15,Interchange,43:00,-,-,-,-,-,-,-,-,28,8,85,-,35,-,-,-,-,2,8,-,3.17s,-,-,-,-,-,-,9,-,91.67%,22,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,42:56,-,2024,1,Knights,Raiders
